sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
300,11,ode,focei,lbfgsb3c,1,95,0.95,2
300,11,ode,focei,lbfgsb3c,2,76,0.76,2
300,12,linCmt,focei,lbfgsb3c,1,100,1,3
300,12,linCmt,focei,lbfgsb3c,2,100,1,3
300,12,linCmt,focei,lbfgsb3c,3,92,0.92,3
300,12,ode,focei,lbfgsb3c,1,100,1,3
300,12,ode,focei,lbfgsb3c,2,100,1,3
300,12,ode,focei,lbfgsb3c,3,85,0.85,3
300,13,linCmt,focei,lbfgsb3c,1,76,0.76,2
300,13,linCmt,focei,lbfgsb3c,2,45,0.45,2
300,13,ode,focei,lbfgsb3c,1,89,0.89,2
300,13,ode,focei,lbfgsb3c,2,61,0.61,2
300,14,linCmt,focei,lbfgsb3c,1,99,0.99,3
300,14,linCmt,focei,lbfgsb3c,2,98,0.98,3
300,14,linCmt,focei,lbfgsb3c,3,77,0.77,3
300,14,ode,focei,lbfgsb3c,1,100,1,3
300,14,ode,focei,lbfgsb3c,2,98,0.98,3
300,14,ode,focei,lbfgsb3c,3,66,0.66,3
300,15,linCmt,focei,lbfgsb3c,1,98,0.98,3
300,15,linCmt,focei,lbfgsb3c,2,79,0.79,3
300,15,linCmt,focei,lbfgsb3c,3,48,0.48,3
300,15,ode,focei,lbfgsb3c,1,99,0.99,3
300,15,ode,focei,lbfgsb3c,2,93,0.93,3
300,15,ode,focei,lbfgsb3c,3,58,0.58,3
300,16,linCmt,focei,lbfgsb3c,1,100,1,4
300,16,linCmt,focei,lbfgsb3c,2,99,0.99,4
300,16,linCmt,focei,lbfgsb3c,3,96,0.96,4
300,16,linCmt,focei,lbfgsb3c,4,73,0.73,4
300,16,ode,focei,lbfgsb3c,1,99,0.99,4
300,16,ode,focei,lbfgsb3c,2,99,0.99,4
300,16,ode,focei,lbfgsb3c,3,91,0.91,4
300,16,ode,focei,lbfgsb3c,4,55,0.55,4
