sample_N,scenario,structure,estimator,outer_opt,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
40,2,ode,focei,lbfgsb3c,100,72,100,100,72,72,0.72,0.72,0.72
40,3,linCmt,focei,lbfgsb3c,100,52,100,100,52,52,0.52,0.52,0.52
40,3,ode,focei,lbfgsb3c,100,57,100,100,57,57,0.57,0.57,0.57
40,4,linCmt,focei,lbfgsb3c,100,40,99,100,40,40,0.4,0.404040404040404,0.4
40,4,ode,focei,lbfgsb3c,100,37,100,100,37,37,0.37,0.37,0.37
40,5,linCmt,focei,lbfgsb3c,100,65,100,100,65,65,0.65,0.65,0.65
40,5,ode,focei,lbfgsb3c,100,70,100,100,70,70,0.7,0.7,0.7
40,6,linCmt,focei,lbfgsb3c,100,59,100,100,59,59,0.59,0.59,0.59
40,6,ode,focei,lbfgsb3c,100,56,99,99,56,56,0.56,0.565656565656566,0.565656565656566
40,7,linCmt,focei,lbfgsb3c,100,36,100,100,36,36,0.36,0.36,0.36
40,7,ode,focei,lbfgsb3c,100,41,100,100,41,41,0.41,0.41,0.41
40,8,linCmt,focei,lbfgsb3c,100,36,98,98,36,36,0.36,0.36734693877551,0.36734693877551
40,8,ode,focei,lbfgsb3c,100,36,99,100,36,36,0.36,0.363636363636364,0.36
40,9,linCmt,focei,lbfgsb3c,100,55,99,100,55,55,0.55,0.555555555555556,0.55
40,9,ode,focei,lbfgsb3c,100,50,100,100,50,50,0.5,0.5,0.5
40,10,linCmt,focei,lbfgsb3c,100,34,100,100,34,34,0.34,0.34,0.34
40,10,ode,focei,lbfgsb3c,100,30,100,100,30,30,0.3,0.3,0.3
40,11,linCmt,focei,lbfgsb3c,100,34,100,100,34,34,0.34,0.34,0.34
40,11,ode,focei,lbfgsb3c,100,44,100,100,44,44,0.44,0.44,0.44
40,12,linCmt,focei,lbfgsb3c,100,20,100,100,20,20,0.2,0.2,0.2
40,12,ode,focei,lbfgsb3c,100,22,100,100,22,22,0.22,0.22,0.22
40,13,linCmt,focei,lbfgsb3c,100,31,99,99,31,31,0.31,0.313131313131313,0.313131313131313
40,13,ode,focei,lbfgsb3c,100,30,99,100,30,30,0.3,0.303030303030303,0.3
40,14,linCmt,focei,lbfgsb3c,100,18,99,99,18,18,0.18,0.181818181818182,0.181818181818182
40,14,ode,focei,lbfgsb3c,100,25,99,100,25,25,0.25,0.252525252525253,0.25
40,15,linCmt,focei,lbfgsb3c,100,22,99,99,22,22,0.22,0.222222222222222,0.222222222222222
40,15,ode,focei,lbfgsb3c,100,21,100,100,21,21,0.21,0.21,0.21
40,16,linCmt,focei,lbfgsb3c,100,6,96,97,6,6,0.06,0.0625,0.0618556701030928
40,16,ode,focei,lbfgsb3c,100,6,96,97,6,6,0.06,0.0625,0.0618556701030928
300,1,linCmt,focei,lbfgsb3c,100,91,100,100,91,91,0.91,0.91,0.91
300,1,ode,focei,lbfgsb3c,100,91,100,100,91,91,0.91,0.91,0.91
300,2,linCmt,focei,lbfgsb3c,100,88,100,100,88,88,0.88,0.88,0.88
300,2,ode,focei,lbfgsb3c,100,84,99,100,83,84,0.84,0.838383838383838,0.84
300,3,linCmt,focei,lbfgsb3c,100,42,100,100,42,42,0.42,0.42,0.42
300,3,ode,focei,lbfgsb3c,100,45,100,100,45,45,0.45,0.45,0.45
300,4,linCmt,focei,lbfgsb3c,100,84,100,100,84,84,0.84,0.84,0.84
300,4,ode,focei,lbfgsb3c,100,84,99,100,83,84,0.84,0.838383838383838,0.84
300,5,linCmt,focei,lbfgsb3c,100,27,95,96,27,27,0.27,0.284210526315789,0.28125
300,5,ode,focei,lbfgsb3c,100,33,96,98,33,33,0.33,0.34375,0.336734693877551
300,6,linCmt,focei,lbfgsb3c,100,81,99,99,81,81,0.81,0.818181818181818,0.818181818181818
300,6,ode,focei,lbfgsb3c,100,83,98,99,83,83,0.83,0.846938775510204,0.838383838383838
300,7,linCmt,focei,lbfgsb3c,100,58,93,94,58,58,0.58,0.623655913978495,0.617021276595745
