sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
80,14,linCmt,focei,bobyqa,3,41,0.41,3
80,14,ode,focei,bobyqa,1,99,0.99,3
80,14,ode,focei,bobyqa,2,89,0.89,3
80,14,ode,focei,bobyqa,3,32,0.32,3
80,15,linCmt,focei,bobyqa,1,92,0.92,3
80,15,linCmt,focei,bobyqa,2,66,0.66,3
80,15,linCmt,focei,bobyqa,3,27,0.27,3
80,15,ode,focei,bobyqa,1,89,0.89,3
80,15,ode,focei,bobyqa,2,61,0.61,3
80,15,ode,focei,bobyqa,3,17,0.17,3
80,16,linCmt,focei,bobyqa,1,100,1,4
80,16,linCmt,focei,bobyqa,2,95,0.95,4
80,16,linCmt,focei,bobyqa,3,63,0.63,4
80,16,linCmt,focei,bobyqa,4,19,0.19,4
80,16,ode,focei,bobyqa,1,100,1,4
80,16,ode,focei,bobyqa,2,91,0.91,4
80,16,ode,focei,bobyqa,3,69,0.69,4
80,16,ode,focei,bobyqa,4,16,0.16,4
300,2,linCmt,focei,bobyqa,1,100,1,1
300,2,ode,focei,bobyqa,1,100,1,1
300,3,linCmt,focei,bobyqa,1,90,0.9,1
300,3,ode,focei,bobyqa,1,95,0.95,1
300,4,linCmt,focei,bobyqa,1,100,1,2
300,4,linCmt,focei,bobyqa,2,92,0.92,2
300,4,ode,focei,bobyqa,1,100,1,2
300,4,ode,focei,bobyqa,2,92,0.92,2
300,5,linCmt,focei,bobyqa,1,94,0.94,1
300,5,ode,focei,bobyqa,1,94,0.94,1
300,6,linCmt,focei,bobyqa,1,100,1,2
300,6,linCmt,focei,bobyqa,2,94,0.94,2
300,6,ode,focei,bobyqa,1,100,1,2
300,6,ode,focei,bobyqa,2,94,0.94,2
300,7,linCmt,focei,bobyqa,1,99,0.99,2
300,7,linCmt,focei,bobyqa,2,77,0.77,2
300,7,ode,focei,bobyqa,1,99,0.99,2
300,7,ode,focei,bobyqa,2,80,0.8,2
300,8,linCmt,focei,bobyqa,1,100,1,3
300,8,linCmt,focei,bobyqa,2,97,0.97,3
300,8,linCmt,focei,bobyqa,3,81,0.81,3
300,8,ode,focei,bobyqa,1,100,1,3
300,8,ode,focei,bobyqa,2,97,0.97,3
300,8,ode,focei,bobyqa,3,82,0.82,3
300,9,linCmt,focei,bobyqa,1,78,0.78,1
300,9,ode,focei,bobyqa,1,77,0.77,1
300,10,linCmt,focei,bobyqa,1,100,1,2
