sample_N,scenario,structure,estimator,outer_opt,dataset_id,parameter,param_class,true_value,estimate,rel_err,rel_err_pct,sq_rel,abs_rel
300,8,linCmt,focei,bobyqa,35,VcSEX,covariate_beta,0.4054651081081644,0.46741305371962927,0.1527824327486627,15.278243274866272,0.023342471756599644,0.1527824327486627
300,8,linCmt,focei,bobyqa,35,var_CL,structural_other,0.1,0.09526503791645383,-0.04734962083546179,-4.734962083546179,0.0022419865932619973,0.04734962083546179
300,8,linCmt,focei,bobyqa,35,var_Vc,structural_other,0.1,0.08424110774304015,-0.15758892256959853,-15.758892256959852,0.02483426851664692,0.15758892256959853
300,8,linCmt,focei,bobyqa,35,cov_VcCL,structural_other,0.02,0.015105614680469302,-0.2447192659765349,-24.47192659765349,0.059887519140094034,0.2447192659765349
300,8,linCmt,focei,bobyqa,35,ResErr,structural_other,0.1,0.10267487821296918,0.026748782129691756,2.6748782129691757,7.15497345421717e-4,0.026748782129691756
300,8,linCmt,focei,bobyqa,36,TVCL,structural_intercept,0.6,0.6095835046042967,0.015972507673827817,1.5972507673827816,2.551210013904885e-4,0.015972507673827817
300,8,linCmt,focei,bobyqa,36,TVVc,structural_intercept,20,20.118793452077107,0.005939672603855329,0.5939672603855328,3.527971064098954e-5,0.005939672603855329
300,8,linCmt,focei,bobyqa,36,TVQ,structural_other,1.8,1.838652710967152,0.021473728315084414,2.1473728315084415,4.6112100775005813e-4,0.021473728315084414
300,8,linCmt,focei,bobyqa,36,TVVp,structural_other,80,80.24423631314845,0.003052953914355605,0.3052953914355605,9.32052760317921e-6,0.003052953914355605
300,8,linCmt,focei,bobyqa,36,TVKA,structural_other,0.7,0.7000000000000003,4.758098676964956e-16,4.7580986769649564e-14,2.263950301973567e-31,4.758098676964956e-16
300,8,linCmt,focei,bobyqa,36,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
300,8,linCmt,focei,bobyqa,36,CLcrCL,covariate_beta,0.5,0.5437117547522433,0.08742350950448663,8.742350950448664,0.007642870014081064,0.08742350950448663
300,8,linCmt,focei,bobyqa,36,VcBW,covariate_beta,1,0.9743664985817572,-0.025633501418242832,-2.5633501418242832,6.570763949590572e-4,0.025633501418242832
300,8,linCmt,focei,bobyqa,36,VcSEX,covariate_beta,0.4054651081081644,0.41272972829945415,0.017916757930627674,1.7916757930627674,3.2101021474470964e-4,0.017916757930627674
300,8,linCmt,focei,bobyqa,36,var_CL,structural_other,0.1,0.09371844901493777,-0.06281550985062237,-6.281550985062237,0.003945788277793636,0.06281550985062237
300,8,linCmt,focei,bobyqa,36,var_Vc,structural_other,0.1,0.09818948545682853,-0.018105145431714792,-1.8105145431714793,3.27796291103543e-4,0.018105145431714792
300,8,linCmt,focei,bobyqa,36,cov_VcCL,structural_other,0.02,0.019671315311680638,-0.016434234415968127,-1.6434234415968128,2.7008406083899126e-4,0.016434234415968127
300,8,linCmt,focei,bobyqa,36,ResErr,structural_other,0.1,0.09927016611196927,-0.007298338880307315,-0.7298338880307315,5.326575041180543e-5,0.007298338880307315
300,8,linCmt,focei,bobyqa,37,TVCL,structural_intercept,0.6,0.6351204291818309,0.058534048636384825,5.853404863638483,0.0034262348497666644,0.058534048636384825
300,8,linCmt,focei,bobyqa,37,TVVc,structural_intercept,20,19.607928824075223,-0.01960355879623883,-1.960355879623883,3.8429951747759273e-4,0.01960355879623883
300,8,linCmt,focei,bobyqa,37,TVQ,structural_other,1.8,1.8410703864794131,0.02281688137745171,2.2816881377451708,5.206100757927026e-4,0.02281688137745171
300,8,linCmt,focei,bobyqa,37,TVVp,structural_other,80,80.81299536718764,0.010162442089845491,1.0162442089845491,1.0327522922946319e-4,0.010162442089845491
300,8,linCmt,focei,bobyqa,37,TVKA,structural_other,0.7,0.7000000000000003,4.758098676964956e-16,4.7580986769649564e-14,2.263950301973567e-31,4.758098676964956e-16
300,8,linCmt,focei,bobyqa,37,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
300,8,linCmt,focei,bobyqa,37,CLcrCL,covariate_beta,0.5,0.5601934627649214,0.12038692552984287,12.038692552984287,0.014493011838527933,0.12038692552984287
300,8,linCmt,focei,bobyqa,37,VcBW,covariate_beta,1,NA,NA,NA,NA,NA
300,8,linCmt,focei,bobyqa,37,VcSEX,covariate_beta,0.4054651081081644,0.4469501901061124,0.10231480136850941,10.23148013685094,0.010468318579077537,0.10231480136850941
300,8,linCmt,focei,bobyqa,37,var_CL,structural_other,0.1,0.0947515614654867,-0.05248438534513303,-5.248438534513303,0.0027546107050564145,0.05248438534513303
300,8,linCmt,focei,bobyqa,37,var_Vc,structural_other,0.1,0.09331824479851136,-0.06681755201488643,-6.6817552014886425,0.004464585257262053,0.06681755201488643
300,8,linCmt,focei,bobyqa,37,cov_VcCL,structural_other,0.02,0.01947580790891367,-0.026209604554316458,-2.620960455431646,6.869433708936461e-4,0.026209604554316458
300,8,linCmt,focei,bobyqa,37,ResErr,structural_other,0.1,0.09902105379253459,-0.009789462074654143,-0.9789462074654143,9.583356771109179e-5,0.009789462074654143
300,8,linCmt,focei,bobyqa,38,TVCL,structural_intercept,0.6,0.6046349941221226,0.0077249902035377484,0.7724990203537748,5.967547364475418e-5,0.0077249902035377484
300,8,linCmt,focei,bobyqa,38,TVVc,structural_intercept,20,19.965376281273613,-0.0017311859363193349,-0.1731185936319335,2.997004746109852e-6,0.0017311859363193349
300,8,linCmt,focei,bobyqa,38,TVQ,structural_other,1.8,1.8425842521434124,0.02365791785745129,2.365791785745129,5.596970773499127e-4,0.02365791785745129
300,8,linCmt,focei,bobyqa,38,TVVp,structural_other,80,80.03933976732341,4.917470915426492e-4,0.04917470915426492,2.418152020406546e-7,4.917470915426492e-4
300,8,linCmt,focei,bobyqa,38,TVKA,structural_other,0.7,0.7000000000000003,4.758098676964956e-16,4.7580986769649564e-14,2.263950301973567e-31,4.758098676964956e-16
300,8,linCmt,focei,bobyqa,38,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
300,8,linCmt,focei,bobyqa,38,CLcrCL,covariate_beta,0.5,0.5365239977733727,0.07304799554674535,7.304799554674535,0.0053360096533973285,0.07304799554674535
300,8,linCmt,focei,bobyqa,38,VcBW,covariate_beta,1,0.814233389499972,-0.18576661050002796,-18.576661050002798,0.0345092335766691,0.18576661050002796
300,8,linCmt,focei,bobyqa,38,VcSEX,covariate_beta,0.4054651081081644,0.42799316474549676,0.055561024085265184,5.5561024085265185,0.003087027397403418,0.055561024085265184
300,8,linCmt,focei,bobyqa,38,var_CL,structural_other,0.1,0.10158839694660161,0.015883969466016085,1.5883969466016086,2.523004859973313e-4,0.015883969466016085
300,8,linCmt,focei,bobyqa,38,var_Vc,structural_other,0.1,0.08573720421940859,-0.1426279578059142,-14.26279578059142,0.02034273434788564,0.1426279578059142
300,8,linCmt,focei,bobyqa,38,cov_VcCL,structural_other,0.02,0.014084291997506713,-0.29578540012466437,-29.578540012466437,0.0874890029269078,0.29578540012466437
300,8,linCmt,focei,bobyqa,38,ResErr,structural_other,0.1,0.10221818857079715,0.022181885707971416,2.2181885707971416,4.920360535615065e-4,0.022181885707971416
300,8,linCmt,focei,bobyqa,39,TVCL,structural_intercept,0.6,0.6188622956767049,0.03143715946117491,3.143715946117491,9.88294994987339e-4,0.03143715946117491
300,8,linCmt,focei,bobyqa,39,TVVc,structural_intercept,20,19.74339489357475,-0.012830255321262562,-1.2830255321262563,1.646154516087863e-4,0.012830255321262562
300,8,linCmt,focei,bobyqa,39,TVQ,structural_other,1.8,1.8479540370322514,0.026641131684584065,2.6641131684584063,7.09749897435349e-4,0.026641131684584065
300,8,linCmt,focei,bobyqa,39,TVVp,structural_other,80,80.14821353546854,0.001852669193356782,0.18526691933567818,3.432383140013269e-6,0.001852669193356782
300,8,linCmt,focei,bobyqa,39,TVKA,structural_other,0.7,0.7000000000000003,4.758098676964956e-16,4.7580986769649564e-14,2.263950301973567e-31,4.758098676964956e-16
300,8,linCmt,focei,bobyqa,39,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
300,8,linCmt,focei,bobyqa,39,CLcrCL,covariate_beta,0.5,0.4563155093527784,-0.08736898129444315,-8.736898129444315,0.007633338892428757,0.08736898129444315
300,8,linCmt,focei,bobyqa,39,VcBW,covariate_beta,1,NA,NA,NA,NA,NA
300,8,linCmt,focei,bobyqa,39,VcSEX,covariate_beta,0.4054651081081644,0.4571011912299238,0.1273502505867525,12.73502505867525,0.016218086324508656,0.1273502505867525
300,8,linCmt,focei,bobyqa,39,var_CL,structural_other,0.1,0.09791012120851258,-0.020898787914874206,-2.0898787914874206,4.3675933631089216e-4,0.020898787914874206
300,8,linCmt,focei,bobyqa,39,var_Vc,structural_other,0.1,0.09804957486147785,-0.019504251385221577,-1.9504251385221578,3.804158220979178e-4,0.019504251385221577
300,8,linCmt,focei,bobyqa,39,cov_VcCL,structural_other,0.02,0.02082560126991927,0.041280063495963484,4.128006349596348,0.001704043642230777,0.041280063495963484
300,8,linCmt,focei,bobyqa,39,ResErr,structural_other,0.1,0.1000860195451098,8.601954510979726e-4,0.08601954510979726,7.399362140896445e-7,8.601954510979726e-4
300,8,linCmt,focei,bobyqa,40,TVCL,structural_intercept,0.6,0.6338012661176704,0.05633544352945071,5.633544352945071,0.00317368219765993,0.05633544352945071
300,8,linCmt,focei,bobyqa,40,TVVc,structural_intercept,20,20.518568625054435,0.02592843125272175,2.592843125272175,6.722835472271181e-4,0.02592843125272175
300,8,linCmt,focei,bobyqa,40,TVQ,structural_other,1.8,1.8380879472318612,0.021159970684367306,2.1159970684367306,4.477443593632838e-4,0.021159970684367306
300,8,linCmt,focei,bobyqa,40,TVVp,structural_other,80,79.92723147071746,-9.096066160317662e-4,-0.09096066160317662,8.273841959287609e-7,9.096066160317662e-4
300,8,linCmt,focei,bobyqa,40,TVKA,structural_other,0.7,0.7000000000000003,4.758098676964956e-16,4.7580986769649564e-14,2.263950301973567e-31,4.758098676964956e-16
300,8,linCmt,focei,bobyqa,40,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
300,8,linCmt,focei,bobyqa,40,CLcrCL,covariate_beta,0.5,0.5006591277906522,0.001318255581304495,0.1318255581304495,1.7377977776404518e-6,0.001318255581304495
300,8,linCmt,focei,bobyqa,40,VcBW,covariate_beta,1,1.0763892032006634,0.07638920320066345,7.638920320066345,0.005835310365632251,0.07638920320066345
300,8,linCmt,focei,bobyqa,40,VcSEX,covariate_beta,0.4054651081081644,0.3580322652712029,-0.11698378451915521,-11.698378451915522,0.013685205840424139,0.11698378451915521
300,8,linCmt,focei,bobyqa,40,var_CL,structural_other,0.1,0.09829459658938124,-0.017054034106187693,-1.7054034106187692,2.9084007929501305e-4,0.017054034106187693
300,8,linCmt,focei,bobyqa,40,var_Vc,structural_other,0.1,0.09100131055810964,-0.08998689441890362,-8.998689441890361,0.008097641167158907,0.08998689441890362
300,8,linCmt,focei,bobyqa,40,cov_VcCL,structural_other,0.02,0.028083868015616607,0.4041934007808303,40.41934007808303,0.16337230523477292,0.4041934007808303
300,8,linCmt,focei,bobyqa,40,ResErr,structural_other,0.1,0.10100468250533692,0.01004682505336918,1.004682505336918,1.0093869365300662e-4,0.01004682505336918
