cohort,var1,var2,pooled_r,sd_r,mean_r,median_r,q05_r,q95_r,ref_r,abs_delta_ref,within_0.05
N40,SEX,CrCL,0.06974857324850788,0.07694069548257827,0.07316187049874183,0.07017214315294157,-0.03739170920680641,0.1946009656602424,0.08076041586287484,0.011011842614366968,TRUE
N40,SEX,RACE,-0.03350126050864039,0,-0.0335012605086404,-0.0335012605086404,-0.0335012605086404,-0.0335012605086404,0.0024812453206723355,0.03598250582931273,TRUE
N40,SEX,SEX,1,0,1,1,1,1,1,0,TRUE
N80,BMI,BMI,1,0,1,1,1,1,1,0,TRUE
N80,BMI,BW,0.8784565914535682,0.023534802386246015,0.8765980862287894,0.879767888792583,0.8247944314371144,0.9074166766982753,0.8778530473721834,6.035440813848547e-4,TRUE
N80,BMI,CrCL,0.5042466221634063,0.052115186273306836,0.5050181552407487,0.5031618851295068,0.41763591935335975,0.5771886275805271,0.4951557344365463,0.009090887726860009,TRUE
N80,BMI,RACE,0.18594801149390114,0.04452408808887369,0.1873912181391797,0.19184806072004867,0.10855435972775769,0.25516321360704836,0.179124119264698,0.006823892229203127,TRUE
N80,BMI,SEX,-0.04423674089663789,0.04842943625505646,-0.045308378519078985,-0.05103615632476009,-0.11670339173392125,0.03750623266644395,-0.0402288449790899,0.004007895917547993,TRUE
N80,BW,BMI,0.8784565914535682,0.023534802386246015,0.8765980862287894,0.879767888792583,0.8247944314371144,0.9074166766982753,0.8778530473721834,6.035440813848547e-4,TRUE
N80,BW,BW,1,0,1,1,1,1,1,0,TRUE
N80,BW,CrCL,0.5911794176051359,0.04497641772905825,0.5900801539315846,0.5901778782059413,0.5122576854145391,0.6656243116650495,0.5832354406459398,0.00794397695919613,TRUE
N80,BW,RACE,0.23642534956911437,0.040105812210893516,0.23846818731291336,0.23912119683700322,0.1732893167871119,0.3007285930656079,0.22837341514503054,0.008051934424083834,TRUE
N80,BW,SEX,0.2887909430052292,0.045290227577423715,0.2914173183106108,0.2894299869076221,0.21296678945964106,0.3642220329839024,0.2934493057932009,0.004658362787971715,TRUE
N80,CrCL,BMI,0.5042466221634063,0.052115186273306836,0.5050181552407487,0.5031618851295068,0.41763591935335975,0.5771886275805271,0.4951557344365463,0.009090887726860009,TRUE
N80,CrCL,BW,0.5911794176051359,0.04497641772905825,0.5900801539315846,0.5901778782059413,0.5122576854145391,0.6656243116650495,0.5832354406459398,0.00794397695919613,TRUE
N80,CrCL,CrCL,1,0,1,1,1,1,1,0,TRUE
N80,CrCL,RACE,0.03808543284155001,0.05500873330151914,0.037902938869692676,0.04051201554921915,-0.04404105452969908,0.12353639580001197,0.039662897722010836,0.001577464880460823,TRUE
N80,CrCL,SEX,0.08206087156392053,0.04970173826107166,0.0838249459821273,0.08962404343163935,0.0027045325270983267,0.16837184838940583,0.08076041586287484,0.0013004557010456858,TRUE
N80,RACE,BMI,0.18594801149390114,0.04452408808887369,0.1873912181391797,0.19184806072004867,0.10855435972775769,0.25516321360704836,0.179124119264698,0.006823892229203127,TRUE
N80,RACE,BW,0.23642534956911437,0.040105812210893516,0.23846818731291336,0.23912119683700322,0.1732893167871119,0.3007285930656079,0.22837341514503054,0.008051934424083834,TRUE
N80,RACE,CrCL,0.03808543284155001,0.05500873330151914,0.037902938869692676,0.04051201554921915,-0.04404105452969908,0.12353639580001197,0.039662897722010836,0.001577464880460823,TRUE
N80,RACE,RACE,1,0,1,1,1,1,1,0,TRUE
N80,RACE,SEX,0.013338076603968376,0,0.013338076603968374,0.013338076603968374,0.013338076603968374,0.013338076603968374,0.0024812453206723355,0.01085683128329604,TRUE
N80,SEX,BMI,-0.04423674089663789,0.04842943625505646,-0.045308378519078985,-0.05103615632476009,-0.11670339173392125,0.03750623266644395,-0.0402288449790899,0.004007895917547993,TRUE
N80,SEX,BW,0.2887909430052292,0.045290227577423715,0.2914173183106108,0.2894299869076221,0.21296678945964106,0.3642220329839024,0.2934493057932009,0.004658362787971715,TRUE
N80,SEX,CrCL,0.08206087156392053,0.04970173826107166,0.0838249459821273,0.08962404343163935,0.0027045325270983267,0.16837184838940583,0.08076041586287484,0.0013004557010456858,TRUE
N80,SEX,RACE,0.013338076603968376,0,0.013338076603968374,0.013338076603968374,0.013338076603968374,0.013338076603968374,0.0024812453206723355,0.01085683128329604,TRUE
N80,SEX,SEX,1,0,1,1,1,1,1,0,TRUE
N300,BMI,BMI,1,0,1,1,1,1,1,0,TRUE
N300,BMI,BW,0.8771067185211756,0.013851945442678126,0.8763445489928691,0.8780711446712068,0.8492553402784184,0.8953973476018781,0.8778530473721834,7.463288510077826e-4,TRUE
N300,BMI,CrCL,0.49515190519135427,0.025173977295700745,0.4959030447301468,0.49516603938320136,0.4590661154871515,0.5358201644693951,0.4951557344365463,3.829245192044084e-6,TRUE
N300,BMI,RACE,0.17889887541170313,0.02396978536475325,0.17893556651265663,0.17716758441985658,0.14139057755331924,0.21753734044768103,0.179124119264698,2.2524385299488303e-4,TRUE
N300,BMI,SEX,-0.04748956633106913,0.02348974191412933,-0.047695169246329654,-0.049775657973263526,-0.08673014621013721,-0.008535036584276418,-0.0402288449790899,0.007260721351979228,TRUE
N300,BW,BMI,0.8771067185211756,0.013851945442678126,0.8763445489928691,0.8780711446712068,0.8492553402784184,0.8953973476018781,0.8778530473721834,7.463288510077826e-4,TRUE
N300,BW,BW,1,0,1,1,1,1,1,0,TRUE
N300,BW,CrCL,0.5851668704422507,0.024241271452314056,0.5859477645769193,0.5882700925398656,0.5475640683865335,0.623537765007046,0.5832354406459398,0.0019314297963108906,TRUE
N300,BW,RACE,0.22827580339462053,0.025199243983815598,0.2285949051293909,0.22845757659898716,0.18443642510968242,0.26854316044536497,0.22837341514503054,9.761175041000936e-5,TRUE
N300,BW,SEX,0.2907657720744676,0.022332522329689568,0.29176770096792426,0.29231407201233406,0.25408984865609663,0.3276271180678905,0.2934493057932009,0.002683533718733311,TRUE
N300,CrCL,BMI,0.49515190519135427,0.025173977295700745,0.4959030447301468,0.49516603938320136,0.4590661154871515,0.5358201644693951,0.4951557344365463,3.829245192044084e-6,TRUE
N300,CrCL,BW,0.5851668704422507,0.024241271452314056,0.5859477645769193,0.5882700925398656,0.5475640683865335,0.623537765007046,0.5832354406459398,0.0019314297963108906,TRUE
N300,CrCL,CrCL,1,0,1,1,1,1,1,0,TRUE
N300,CrCL,RACE,0.04172309610298896,0.02632809238523097,0.042103348092964524,0.041262445994901656,7.636525716059211e-4,0.08469818106803523,0.039662897722010836,0.0020601983809781232,TRUE
N300,CrCL,SEX,0.0803682028674361,0.026106235821324084,0.08053888332216191,0.08281049110890976,0.03587371912570355,0.11902827516431046,0.08076041586287484,3.922129954387482e-4,TRUE
N300,RACE,BMI,0.17889887541170313,0.02396978536475325,0.17893556651265663,0.17716758441985658,0.14139057755331924,0.21753734044768103,0.179124119264698,2.2524385299488303e-4,TRUE
N300,RACE,BW,0.22827580339462053,0.025199243983815598,0.2285949051293909,0.22845757659898716,0.18443642510968242,0.26854316044536497,0.22837341514503054,9.761175041000936e-5,TRUE
N300,RACE,CrCL,0.04172309610298896,0.02632809238523097,0.042103348092964524,0.041262445994901656,7.636525716059211e-4,0.08469818106803523,0.039662897722010836,0.0020601983809781232,TRUE
N300,RACE,RACE,1,0,1,1,1,1,1,0,TRUE
N300,RACE,SEX,9.73202955027684e-4,0.02781087311127488,0.0010257932132265142,-0.0025702694838786993,-0.04242424242424241,0.04455673959840413,0.0024812453206723355,0.0015080423656446515,TRUE
N300,SEX,BMI,-0.04748956633106913,0.02348974191412933,-0.047695169246329654,-0.049775657973263526,-0.08673014621013721,-0.008535036584276418,-0.0402288449790899,0.007260721351979228,TRUE
N300,SEX,BW,0.2907657720744676,0.022332522329689568,0.29176770096792426,0.29231407201233406,0.25408984865609663,0.3276271180678905,0.2934493057932009,0.002683533718733311,TRUE
N300,SEX,CrCL,0.0803682028674361,0.026106235821324084,0.08053888332216191,0.08281049110890976,0.03587371912570355,0.11902827516431046,0.08076041586287484,3.922129954387482e-4,TRUE
N300,SEX,RACE,9.73202955027684e-4,0.02781087311127488,0.0010257932132265142,-0.0025702694838786993,-0.04242424242424241,0.04455673959840413,0.0024812453206723355,0.0015080423656446515,TRUE
N300,SEX,SEX,1,0,1,1,1,1,1,0,TRUE
