sample_N,scenario,structure,estimator,outer_opt,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
80,9,ode,nonmem_scm,focei,100,43,0,54,0,25,0.43,,0.46296296296296297
80,10,ode,nonmem_scm,focei,100,45,0,45,0,19,0.45,,0.4222222222222222
80,11,ode,nonmem_scm,focei,100,30,0,52,0,17,0.3,,0.3269230769230769
80,12,ode,nonmem_scm,focei,100,23,0,49,0,11,0.23,,0.22448979591836735
80,13,ode,nonmem_scm,focei,100,40,0,54,0,20,0.4,,0.37037037037037035
80,14,ode,nonmem_scm,focei,100,41,0,47,0,20,0.41,,0.425531914893617
80,15,ode,nonmem_scm,focei,100,32,0,59,0,21,0.32,,0.3559322033898305
80,16,ode,nonmem_scm,focei,100,19,0,41,0,6,0.19,,0.14634146341463414
300,1,ode,nonmem_scm,focei,100,89,0,62,0,57,0.89,,0.9193548387096774
300,2,ode,nonmem_scm,focei,100,80,0,50,0,38,0.8,,0.76
300,3,ode,nonmem_scm,focei,100,83,0,62,0,51,0.83,,0.8225806451612904
300,4,ode,nonmem_scm,focei,100,78,0,49,0,40,0.78,,0.8163265306122449
300,5,ode,nonmem_scm,focei,100,81,0,61,0,47,0.81,,0.7704918032786885
300,6,ode,nonmem_scm,focei,100,81,0,55,0,48,0.81,,0.8727272727272727
300,7,ode,nonmem_scm,focei,100,66,0,53,0,33,0.66,,0.6226415094339622
300,8,ode,nonmem_scm,focei,100,70,0,35,0,25,0.7,,0.7142857142857143
300,9,ode,nonmem_scm,focei,100,62,0,63,0,40,0.62,,0.6349206349206349
300,10,ode,nonmem_scm,focei,100,68,0,50,0,39,0.68,,0.78
300,11,ode,nonmem_scm,focei,100,61,0,64,0,46,0.61,,0.71875
300,12,ode,nonmem_scm,focei,100,58,0,40,0,23,0.58,,0.575
300,13,ode,nonmem_scm,focei,100,63,0,56,0,39,0.63,,0.6964285714285714
300,14,ode,nonmem_scm,focei,100,67,0,43,0,29,0.67,,0.6744186046511628
300,15,ode,nonmem_scm,focei,100,54,0,63,0,38,0.54,,0.6031746031746031
300,16,ode,nonmem_scm,focei,100,52,0,48,0,27,0.52,,0.5625
