sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
40,2,advan4,nonmem_scm,focei,31,CL,BW,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,32,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,33,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,34,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,35,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,36,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,37,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,37,CL,BMI,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,38,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,39,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,40,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,41,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,42,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,43,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,44,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,45,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,46,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,47,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,48,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,49,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,50,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,51,VC,SEX,cat,TRUE,TRUE,TP
