sample_N,scenario,structure,estimator,outer_opt,n_total,n_ok_status,Converged_pct,ConvergedStrict_pct,CovStep_pct,CovDone_pct,CNBelowCutoff_pct,MinSuc_pct,EstBnd_pct,MedCN,MaxCN,P90CN,MedObjF,MedNSelected,MedWallBase_sec,MedWallScm_sec,MedWallRefit_sec,MedWallTotal_sec,MedWallTotal_min,MedCpuTotal_sec,MedHogFactor,scm_workers,rx_threads
80,11,advan4,nonmem_scm,focei,100,93,93,28.999999999999996,42,42,33,93,7.000000000000001,82.74190281692518,239036.14457831325,3362.84986435519,-1606.4227457718498,2,,,,507.1995,8.453325,457.88,0.901,,
80,12,advan4,nonmem_scm,focei,100,84,84,28.000000000000004,43,43,32,84,16,159.67741935483875,1739130.4347826089,11963.758796842083,-1597.9007145335293,3,,,,544.953,9.08255,500.995,0.908,,
80,13,advan4,nonmem_scm,focei,100,86,86,23,34,34,26,86,14.000000000000002,145.9299189171516,442035.39823008847,5458.260869565216,-1643.6558312126967,2,,,,508.8385,8.480641666666667,467.345,0.904,,
80,14,advan4,nonmem_scm,focei,100,82,82,22,42,42,28.000000000000004,82,18,240.44933762978874,34810126.582278475,12163.522271122496,-1632.3779889370617,3,,,,584.0675,9.734458333333333,535.965,0.913,,
80,15,advan4,nonmem_scm,focei,100,89,89,22,33,33,25,89,11,191.34328358208955,41860.465116279076,9112.33051081964,-1631.126990424243,3,,,,679.048,11.317466666666666,620.53,0.912,,
80,16,advan4,nonmem_scm,focei,100,81,81,22,31,31,27,81,19,195.23809523809524,922413.7931034481,2447.3007712082263,-1623.818511070585,4,,,,724.5740000000001,12.076233333333334,666.1949999999999,0.917,,
300,1,advan4,nonmem_scm,focei,100,95,95,86,93,93,89,95,5,13.904761904761905,15708.15450643777,307.5124875124874,-5768.261884736574,0,,,,162.209,2.7034833333333332,132.89,0.829,,
300,2,advan4,nonmem_scm,focei,100,93,93,77,85,85,81,93,7.000000000000001,25.555555555555557,279228.4866468843,277.76390536238324,-5764.757177621597,1,,,,279.796,4.663266666666667,251.015,0.8955,,
300,3,advan4,nonmem_scm,focei,100,91,91,76,88,88,83,91,9,16.76783340717767,20782.828282828286,195.96566746188134,-5754.554614258489,1,,,,406.291,6.771516666666667,372.845,0.9115,,
300,4,advan4,nonmem_scm,focei,100,91,91,75,86,86,79,91,9,21.30152964800378,42870.81339712919,731.9351138784205,-5778.136628641964,2,,,,509.5935,8.493225,468.82500000000005,0.9175,,
300,5,advan4,nonmem_scm,focei,100,90,90,80,92,92,87,90,10,13.523883127243717,226757369.61451247,238.5084373713816,-5832.416207472756,1,,,,428.5295,7.142158333333333,392.04499999999996,0.916,,
300,6,advan4,nonmem_scm,focei,100,90,90,80,86,86,84,90,10,29.000535188654,1962.0253164556962,242.01949549817695,-5829.177285920682,2,,,,523.5245,8.725408333333332,482,0.921,,
300,7,advan4,nonmem_scm,focei,100,92,92,77,90,90,83,92,8,19.304178740277564,4388.1278538812785,354.1073726788029,-5816.103724009488,2,,,,646.833,10.78055,608.8,0.931,,
300,8,advan4,nonmem_scm,focei,100,91,91,77,85,85,83,91,9,22.5,73193.27731092437,315.3412145748995,-5820.511152427405,3,,,,738.5075,12.308458333333334,696.64,0.934,,
300,9,advan4,nonmem_scm,focei,100,93,93,71,78,78,73,93,7.000000000000001,26.310657596371883,464640.88397790055,439.299446447848,-6011.506888822629,1,,,,419.7365,6.995608333333333,391.845,0.917,,
300,10,advan4,nonmem_scm,focei,100,89,89,76,84,84,81,89,11,34.78856901824318,176979.74217311235,439.2037025336452,-5990.902423192387,2,,,,510.7265,8.512108333333334,478.42499999999995,0.925,,
300,11,advan4,nonmem_scm,focei,100,94,94,70,81,81,73,94,6,25.03105590062112,28456.591639871378,635.6435643564357,-5983.424261394881,2,,,,644.046,10.734100000000002,604.065,0.934,,
300,12,advan4,nonmem_scm,focei,100,87,87,70,86,86,78,87,13,41.434934078771704,87704.91803278688,853.4947452655113,-5972.207914813285,3,,,,727.2725,12.121208333333334,686.8299999999999,0.937,,
300,13,advan4,nonmem_scm,focei,100,90,90,66,74,74,68,90,10,41.657112193951356,6944444.444444445,565.9723251791452,-6116.302912301502,2,,,,687.4770000000001,11.457950000000002,669.0250000000001,0.94,,
300,14,advan4,nonmem_scm,focei,100,86,86,61,76,76,70,86,14.000000000000002,30.791754597527888,72519.08396946565,487.35309948865165,-6078.691672028738,3,,,,770.8665,12.847775,729.41,0.941,,
300,15,advan4,nonmem_scm,focei,100,86,86,60,78,78,66,86,14.000000000000002,72.4716503009186,432539.68253968254,3193.739635157542,-6076.253358484227,3,,,,876.5229999999999,14.608716666666664,844.73,0.946,,
300,16,advan4,nonmem_scm,focei,100,76,76,51,70,70,65,76,24,63.165241055059056,472000,334.7626071357385,-6063.754051589654,4,,,,941.0844999999999,15.684741666666666,902.56,0.945,,
40,1,ode,nonmem_scm,focei,100,60,60,0,0,0,0,60,40,,,,-769.9993124942057,0,,,,263.95,4.399166666666667,557.02,2.1515,,
40,2,ode,nonmem_scm,focei,100,43,43,0,0,0,0,43,56.99999999999999,,,,-780.4796835851821,1,,,,475.6305,7.927175,1040.6950000000002,2.219,,
40,3,ode,nonmem_scm,focei,100,68,68,0,0,0,0,68,32,,,,-774.4678377426418,1,,,,718.8720000000001,11.981200000000001,1589.3000000000002,2.286,,
40,4,ode,nonmem_scm,focei,100,49,49,0,0,0,0,49,51,,,,-783.5511062750516,2,,,,933.219,15.553650000000001,2106.0299999999997,2.3325,,
40,5,ode,nonmem_scm,focei,100,65,65,0,0,0,0,65,35,,,,-785.2947944084995,1,,,,798.458,13.307633333333333,1692.455,2.317,,
40,6,ode,nonmem_scm,focei,100,53,53,0,0,0,0,53,47,,,,-777.3757256747122,2,,,,1048.593,17.47655,2120.84,2.2264999999999997,,
40,7,ode,nonmem_scm,focei,100,56,56.00000000000001,0,0,0,0,56.00000000000001,44,,,,-781.9329439262697,2,,,,1305.7404999999999,21.762341666666664,2701.52,2.3025,,
40,8,ode,nonmem_scm,focei,100,47,47,0,0,0,0,47,53,,,,-781.6452024249568,3,,,,1865.8015,31.09669166666667,3488.145,2.2375,,
40,9,ode,nonmem_scm,focei,100,55,55.00000000000001,0,0,0,0,55.00000000000001,45,,,,-815.173059425307,1,,,,1057.7649999999999,17.629416666666664,1619.195,1.72,,
40,10,ode,nonmem_scm,focei,100,55,55.00000000000001,0,0,0,0,55.00000000000001,45,,,,-812.9891387478733,2,,,,1492.463,24.874383333333334,2099.535,1.675,,
40,11,ode,nonmem_scm,focei,100,56,56.00000000000001,0,0,0,0,56.00000000000001,44,,,,-814.531932715567,2,,,,2194.8205,36.58034166666666,2821.54,0.9864999999999999,,
40,12,ode,nonmem_scm,focei,100,40,40,0,0,0,0,40,60,,,,-802.682235443933,3,,,,2200.67,36.67783333333333,3308.1099999999997,1.698,,
40,13,ode,nonmem_scm,focei,100,55,55.00000000000001,0,0,0,0,55.00000000000001,45,,,,-818.7993110898321,2,,,,1369.6115,22.826858333333334,2442.895,1.8675000000000002,,
40,14,ode,nonmem_scm,focei,100,57,56.99999999999999,0,0,0,0,56.99999999999999,43,,,,-817.4086081432436,2,,,,2754.3035,45.905058333333336,3060.535,0.984,,
40,15,ode,nonmem_scm,focei,100,49,49,0,0,0,0,49,51,,,,-815.5946028418585,2,,,,3207.7780000000002,53.462966666666674,3603.71,0.9864999999999999,,
40,16,ode,nonmem_scm,focei,100,46,46,0,0,0,0,46,54,,,,-815.238197347514,3,,,,4231.709,70.52848333333333,4463.38,0.988,,
80,1,ode,nonmem_scm,focei,100,62,62,0,0,0,0,62,38,,,,-1536.2299785468908,0,,,,933.2004999999999,15.553341666666665,946.54,0.98,,
80,2,ode,nonmem_scm,focei,100,46,46,0,0,0,0,46,54,,,,-1549.9723987392235,1,,,,1681.6775,28.027958333333334,1796.9050000000002,0.988,,
80,3,ode,nonmem_scm,focei,100,72,72,0,0,0,0,72,28.000000000000004,,,,-1547.4626846754113,1,,,,2036.963,33.94938333333333,2949.0249999999996,0.9904999999999999,,
80,4,ode,nonmem_scm,focei,100,48,48,0,0,0,0,48,52,,,,-1549.7481487868536,2,,,,3249.303,54.155049999999996,3960.815,0.991,,
80,5,ode,nonmem_scm,focei,100,71,71,0,0,0,0,71,28.999999999999996,,,,-1564.5756007124119,1,,,,2761.322,46.02203333333333,3000.115,0.987,,
80,6,ode,nonmem_scm,focei,100,47,47,0,0,0,0,47,53,,,,-1562.6646934604428,2,,,,3647.7124999999996,60.79520833333333,3824.245,0.989,,
80,7,ode,nonmem_scm,focei,100,55,55.00000000000001,0,0,0,0,55.00000000000001,45,,,,-1553.5536303965132,2,,,,4511.153,75.18588333333334,5038.035,0.99,,
80,8,ode,nonmem_scm,focei,100,44,44,0,0,0,0,44,56.00000000000001,,,,-1554.0904226149914,3,,,,5729.7215,95.49535833333333,6374.905000000001,0.99,,
80,9,ode,nonmem_scm,focei,100,54,54,0,0,0,0,54,46,,,,-1605.120026233988,1,,,,1861.3584999999998,31.022641666666665,3080.085,1.7595,,
80,10,ode,nonmem_scm,focei,100,45,45,0,0,0,0,45,55.00000000000001,,,,-1613.271157668463,2,,,,2609.6605,43.494341666666664,3853.1400000000003,1.7845,,
80,11,ode,nonmem_scm,focei,100,52,52,0,0,0,0,52,48,,,,-1611.1788626750144,2,,,,3605.773,60.09621666666667,5157.555,1.7585,,
80,12,ode,nonmem_scm,focei,100,49,49,0,0,0,0,49,51,,,,-1595.7211416091868,3,,,,2854.5775000000003,47.57629166666667,6135.57,2.356,,
80,13,ode,nonmem_scm,focei,100,54,54,0,0,0,0,54,46,,,,-1642.8613932978392,2,,,,2024.11,33.735166666666665,4837.585,2.4429999999999996,,
80,14,ode,nonmem_scm,focei,100,47,47,0,0,0,0,47,53,,,,-1628.7634377330078,3,,,,2653.6949999999997,44.228249999999996,6124.1,2.3795,,
80,15,ode,nonmem_scm,focei,100,59,59,0,0,0,0,59,41,,,,-1628.6080461805157,3,,,,3167.005,52.78341666666667,7770.705,2.4764999999999997,,
80,16,ode,nonmem_scm,focei,100,41,41,0,0,0,0,41,59,,,,-1622.8587552372546,4,,,,3991.3235000000004,66.52205833333333,9277.785,2.3834999999999997,,
300,1,ode,nonmem_scm,focei,100,62,62,0,0,0,0,62,38,,,,-5768.529936627308,0,,,,1444.28,24.07133333333333,3190.375,2.2175000000000002,,
300,2,ode,nonmem_scm,focei,100,50,50,0,0,0,0,50,50,,,,-5763.657287815129,1,,,,3200.7560000000003,53.34593333333334,6721,2.205,,
300,3,ode,nonmem_scm,focei,100,62,62,0,0,0,0,62,38,,,,-5754.233949858046,1,,,,5121.360500000001,85.35600833333335,10349.869999999999,2.2155,,
300,4,ode,nonmem_scm,focei,100,49,49,0,0,0,0,49,51,,,,-5778.707690302572,2,,,,7828.3195,130.47199166666667,14026.14,1.7905,,
300,5,ode,nonmem_scm,focei,100,61,61,0,0,0,0,61,39,,,,-5832.342286617711,1,,,,6152.733,102.54555,10312.07,1.7705,,
