sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
40,2,linCmt,6,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,6,cl,BMI,power,FALSE,TRUE,FP
40,2,linCmt,6,cl,BW,power,FALSE,TRUE,FP
40,2,linCmt,6,cl,SEX,cat,FALSE,TRUE,FP
40,2,linCmt,7,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,7,vc,CrCL,power,FALSE,TRUE,FP
40,2,linCmt,8,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,9,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,10,vc,SEX,cat,TRUE,FALSE,FN
40,2,linCmt,11,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,12,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,13,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,14,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,15,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,15,cl,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,16,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,17,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,17,cl,SEX,cat,FALSE,TRUE,FP
40,2,linCmt,18,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,19,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,19,cl,BW,power,FALSE,TRUE,FP
40,2,linCmt,20,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,21,vc,SEX,cat,TRUE,FALSE,FN
40,2,linCmt,21,vc,BMI,power,FALSE,TRUE,FP
40,2,linCmt,21,vc,BW,lin,FALSE,TRUE,FP
40,2,linCmt,22,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,23,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,24,vc,SEX,cat,TRUE,FALSE,FN
40,2,linCmt,24,vc,BMI,power,FALSE,TRUE,FP
40,2,linCmt,24,vc,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,24,cl,CrCL,power,FALSE,TRUE,FP
40,2,linCmt,24,vc,BW,lin,FALSE,TRUE,FP
40,2,linCmt,24,vc,CrCL,lin,FALSE,TRUE,FP
40,2,linCmt,25,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,26,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,26,cl,BMI,power,FALSE,TRUE,FP
40,2,linCmt,27,vc,SEX,cat,TRUE,TRUE,TP
