sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
40,6,linCmt,vc,CrCL,lin,3,FALSE,3,1,0,0,3
40,6,linCmt,vc,CrCL,power,7,FALSE,7,1,0,0,7
40,6,linCmt,vc,RACE,cat,2,FALSE,2,1,0,0,2
40,6,ode,cl,CrCL,power,100,TRUE,70,0.7,70,30,0
40,6,ode,vc,SEX,cat,100,TRUE,87,0.87,87,13,0
40,6,ode,cl,BMI,lin,7,FALSE,7,1,0,0,7
40,6,ode,cl,BMI,power,4,FALSE,4,1,0,0,4
40,6,ode,cl,BW,lin,6,FALSE,6,1,0,0,6
40,6,ode,cl,BW,power,4,FALSE,4,1,0,0,4
40,6,ode,cl,CrCL,lin,26,FALSE,26,1,0,0,26
40,6,ode,cl,RACE,cat,6,FALSE,6,1,0,0,6
40,6,ode,cl,SEX,cat,6,FALSE,6,1,0,0,6
40,6,ode,vc,BMI,lin,3,FALSE,3,1,0,0,3
40,6,ode,vc,BMI,power,1,FALSE,1,1,0,0,1
40,6,ode,vc,BW,lin,3,FALSE,3,1,0,0,3
40,6,ode,vc,BW,power,5,FALSE,5,1,0,0,5
40,6,ode,vc,CrCL,lin,2,FALSE,2,1,0,0,2
40,6,ode,vc,CrCL,power,8,FALSE,8,1,0,0,8
40,6,ode,vc,RACE,cat,2,FALSE,2,1,0,0,2
40,7,linCmt,cl,CrCL,power,100,TRUE,60,0.6,60,40,0
40,7,linCmt,vc,BW,power,100,TRUE,38,0.38,38,62,0
40,7,linCmt,cl,BMI,lin,2,FALSE,2,1,0,0,2
40,7,linCmt,cl,BMI,power,7,FALSE,7,1,0,0,7
40,7,linCmt,cl,BW,lin,5,FALSE,5,1,0,0,5
40,7,linCmt,cl,BW,power,6,FALSE,6,1,0,0,6
40,7,linCmt,cl,CrCL,lin,34,FALSE,34,1,0,0,34
40,7,linCmt,cl,RACE,cat,7,FALSE,7,1,0,0,7
40,7,linCmt,cl,SEX,cat,7,FALSE,7,1,0,0,7
40,7,linCmt,vc,BMI,lin,9,FALSE,9,1,0,0,9
40,7,linCmt,vc,BMI,power,10,FALSE,10,1,0,0,10
40,7,linCmt,vc,BW,lin,42,FALSE,42,1,0,0,42
40,7,linCmt,vc,CrCL,lin,6,FALSE,6,1,0,0,6
40,7,linCmt,vc,CrCL,power,5,FALSE,5,1,0,0,5
40,7,linCmt,vc,RACE,cat,6,FALSE,6,1,0,0,6
40,7,linCmt,vc,SEX,cat,6,FALSE,6,1,0,0,6
40,7,ode,cl,CrCL,power,100,TRUE,60,0.6,60,40,0
40,7,ode,vc,BW,power,100,TRUE,38,0.38,38,62,0
40,7,ode,cl,BMI,lin,2,FALSE,2,1,0,0,2
40,7,ode,cl,BMI,power,6,FALSE,6,1,0,0,6
40,7,ode,cl,BW,lin,5,FALSE,5,1,0,0,5
40,7,ode,cl,BW,power,6,FALSE,6,1,0,0,6
40,7,ode,cl,CrCL,lin,34,FALSE,34,1,0,0,34
40,7,ode,cl,RACE,cat,7,FALSE,7,1,0,0,7
40,7,ode,cl,SEX,cat,7,FALSE,7,1,0,0,7
40,7,ode,vc,BMI,lin,10,FALSE,10,1,0,0,10
40,7,ode,vc,BMI,power,10,FALSE,10,1,0,0,10
40,7,ode,vc,BW,lin,41,FALSE,41,1,0,0,41
40,7,ode,vc,CrCL,lin,6,FALSE,6,1,0,0,6
40,7,ode,vc,CrCL,power,5,FALSE,5,1,0,0,5
40,7,ode,vc,RACE,cat,6,FALSE,6,1,0,0,6
40,7,ode,vc,SEX,cat,6,FALSE,6,1,0,0,6
40,8,linCmt,cl,CrCL,power,100,TRUE,60,0.6,60,40,0
40,8,linCmt,vc,BW,power,100,TRUE,42,0.42,42,58,0
40,8,linCmt,vc,SEX,cat,100,TRUE,90,0.9,90,10,0
40,8,linCmt,cl,BMI,lin,5,FALSE,5,1,0,0,5
40,8,linCmt,cl,BMI,power,3,FALSE,3,1,0,0,3
40,8,linCmt,cl,BW,lin,4,FALSE,4,1,0,0,4
40,8,linCmt,cl,BW,power,7,FALSE,7,1,0,0,7
40,8,linCmt,cl,CrCL,lin,32,FALSE,32,1,0,0,32
40,8,linCmt,cl,RACE,cat,17,FALSE,17,1,0,0,17
40,8,linCmt,cl,SEX,cat,7,FALSE,7,1,0,0,7
40,8,linCmt,vc,BMI,lin,12,FALSE,12,1,0,0,12
40,8,linCmt,vc,BMI,power,13,FALSE,13,1,0,0,13
40,8,linCmt,vc,BW,lin,39,FALSE,39,1,0,0,39
40,8,linCmt,vc,CrCL,lin,10,FALSE,10,1,0,0,10
40,8,linCmt,vc,CrCL,power,5,FALSE,5,1,0,0,5
40,8,linCmt,vc,RACE,cat,4,FALSE,4,1,0,0,4
40,8,ode,cl,CrCL,power,100,TRUE,60,0.6,60,40,0
40,8,ode,vc,BW,power,100,TRUE,42,0.42,42,58,0
40,8,ode,vc,SEX,cat,100,TRUE,90,0.9,90,10,0
40,8,ode,cl,BMI,lin,5,FALSE,5,1,0,0,5
40,8,ode,cl,BMI,power,3,FALSE,3,1,0,0,3
40,8,ode,cl,BW,lin,4,FALSE,4,1,0,0,4
40,8,ode,cl,BW,power,7,FALSE,7,1,0,0,7
40,8,ode,cl,CrCL,lin,32,FALSE,32,1,0,0,32
40,8,ode,cl,RACE,cat,17,FALSE,17,1,0,0,17
40,8,ode,cl,SEX,cat,7,FALSE,7,1,0,0,7
40,8,ode,vc,BMI,lin,12,FALSE,12,1,0,0,12
40,8,ode,vc,BMI,power,13,FALSE,13,1,0,0,13
40,8,ode,vc,BW,lin,38,FALSE,38,1,0,0,38
40,8,ode,vc,CrCL,lin,11,FALSE,11,1,0,0,11
40,8,ode,vc,CrCL,power,4,FALSE,4,1,0,0,4
40,8,ode,vc,RACE,cat,4,FALSE,4,1,0,0,4
40,9,linCmt,cl,BW,power,100,TRUE,43,0.43,43,57,0
40,9,linCmt,cl,BMI,lin,8,FALSE,8,1,0,0,8
40,9,linCmt,cl,BMI,power,17,FALSE,17,1,0,0,17
40,9,linCmt,cl,BW,lin,28,FALSE,28,1,0,0,28
40,9,linCmt,cl,CrCL,lin,7,FALSE,7,1,0,0,7
40,9,linCmt,cl,CrCL,power,7,FALSE,7,1,0,0,7
40,9,linCmt,cl,RACE,cat,8,FALSE,8,1,0,0,8
40,9,linCmt,cl,SEX,cat,9,FALSE,9,1,0,0,9
40,9,linCmt,vc,BMI,lin,3,FALSE,3,1,0,0,3
40,9,linCmt,vc,BMI,power,4,FALSE,4,1,0,0,4
40,9,linCmt,vc,BW,lin,3,FALSE,3,1,0,0,3
40,9,linCmt,vc,BW,power,4,FALSE,4,1,0,0,4
40,9,linCmt,vc,CrCL,power,4,FALSE,4,1,0,0,4
40,9,linCmt,vc,RACE,cat,4,FALSE,4,1,0,0,4
40,9,ode,cl,BW,power,100,TRUE,43,0.43,43,57,0
40,9,ode,cl,BMI,lin,7,FALSE,7,1,0,0,7
40,9,ode,cl,BMI,power,17,FALSE,17,1,0,0,17
40,9,ode,cl,BW,lin,29,FALSE,29,1,0,0,29
40,9,ode,cl,CrCL,lin,7,FALSE,7,1,0,0,7
40,9,ode,cl,CrCL,power,7,FALSE,7,1,0,0,7
40,9,ode,cl,RACE,cat,8,FALSE,8,1,0,0,8
40,9,ode,cl,SEX,cat,9,FALSE,9,1,0,0,9
40,9,ode,vc,BMI,lin,1,FALSE,1,1,0,0,1
40,9,ode,vc,BMI,power,4,FALSE,4,1,0,0,4
40,9,ode,vc,BW,lin,3,FALSE,3,1,0,0,3
40,9,ode,vc,BW,power,2,FALSE,2,1,0,0,2
40,9,ode,vc,CrCL,power,4,FALSE,4,1,0,0,4
40,9,ode,vc,RACE,cat,5,FALSE,5,1,0,0,5
40,10,linCmt,cl,BW,power,100,TRUE,41,0.41,41,59,0
40,10,linCmt,vc,SEX,cat,100,TRUE,84,0.84,84,16,0
40,10,linCmt,cl,BMI,lin,5,FALSE,5,1,0,0,5
40,10,linCmt,cl,BMI,power,17,FALSE,17,1,0,0,17
40,10,linCmt,cl,BW,lin,30,FALSE,30,1,0,0,30
40,10,linCmt,cl,CrCL,lin,3,FALSE,3,1,0,0,3
40,10,linCmt,cl,CrCL,power,8,FALSE,8,1,0,0,8
40,10,linCmt,cl,RACE,cat,10,FALSE,10,1,0,0,10
40,10,linCmt,cl,SEX,cat,5,FALSE,5,1,0,0,5
40,10,linCmt,vc,BMI,lin,4,FALSE,4,1,0,0,4
40,10,linCmt,vc,BMI,power,5,FALSE,5,1,0,0,5
40,10,linCmt,vc,BW,lin,6,FALSE,6,1,0,0,6
