sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
80,2,linCmt,81,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,82,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,83,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,83,cl,CrCL,power,FALSE,TRUE,FP
80,2,linCmt,84,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,85,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,86,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,87,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,88,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,89,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,90,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,91,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,92,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,93,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,94,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,94,cl,CrCL,power,FALSE,TRUE,FP
80,2,linCmt,95,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,96,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,97,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,98,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,98,cl,CrCL,power,FALSE,TRUE,FP
80,2,linCmt,99,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,100,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,1,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,2,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,3,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,3,cl,RACE,cat,FALSE,TRUE,FP
80,2,ode,3,cl,SEX,cat,FALSE,TRUE,FP
80,2,ode,4,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,5,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,5,vc,BMI,power,FALSE,TRUE,FP
80,2,ode,5,cl,SEX,cat,FALSE,TRUE,FP
80,2,ode,6,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,7,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,8,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,8,cl,SEX,cat,FALSE,TRUE,FP
80,2,ode,9,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,9,cl,BMI,power,FALSE,TRUE,FP
80,2,ode,10,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,11,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,12,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,13,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,14,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,15,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,16,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,17,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,17,vc,CrCL,power,FALSE,TRUE,FP
