sample_N,scenario,structure,estimator,outer_opt,dataset_id,status,converged,cn_below_cutoff,cov_ok,objf,cond_num_cor,cond_num_cor_source,convergence_code,min_suc,cov_step,est_bnd,phys_bnd,est_family,cov_source,n_selected,n_true,n_true_hit,n_false_pos,exact_match,fit_runtime_sec,message
80,1,linCmt,vae,NA,36,ok,TRUE,TRUE,TRUE,-1524.8084492901507,4.843671929665794,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,53.276984214782715,
80,1,linCmt,vae,NA,37,ok,TRUE,TRUE,TRUE,-1493.8830063497228,6.561794222583445,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,51.40140962600708,
80,1,linCmt,vae,NA,38,ok,TRUE,TRUE,TRUE,-1492.4334973031189,7.351660413515706,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,49.2176833152771,
80,1,linCmt,vae,NA,39,ok,TRUE,TRUE,TRUE,-1448.4806129748583,67.24403243529044,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,63.147052526474,
80,1,linCmt,vae,NA,40,ok,TRUE,TRUE,TRUE,-1487.837543704938,3.546568905428726,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,50.53695631027222,
80,1,linCmt,vae,NA,41,ok,TRUE,TRUE,TRUE,-1513.4269093323037,3.0235711005585366,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,61.13574934005737,
80,1,linCmt,vae,NA,42,ok,TRUE,TRUE,TRUE,-1507.2794846174243,3.515557486021319,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,61.438008308410645,
80,1,linCmt,vae,NA,43,ok,TRUE,TRUE,TRUE,-1517.5582101120985,6.728584059554192,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,69.14313507080078,
80,1,linCmt,vae,NA,44,ok,TRUE,TRUE,TRUE,-1526.0797440735735,14.730544511775285,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,66.00452971458435,
80,1,linCmt,vae,NA,45,ok,TRUE,TRUE,TRUE,-1521.3820535226548,4.245951049926356,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,61.45138669013977,
80,1,linCmt,vae,NA,46,ok,TRUE,TRUE,TRUE,-1451.1524419103669,4.139967167003704,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,59.39183259010315,
80,1,linCmt,vae,NA,47,ok,TRUE,TRUE,TRUE,-1507.4724471800478,12.748061255756049,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,64.82136535644531,
80,1,linCmt,vae,NA,48,ok,TRUE,TRUE,TRUE,-1467.0137592634712,4.305416893571528,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,61.42859983444214,
80,1,linCmt,vae,NA,49,ok,TRUE,TRUE,TRUE,-1454.254935225128,3.2006687123024635,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,59.27177882194519,
80,1,linCmt,vae,NA,50,ok,TRUE,TRUE,TRUE,-1451.5349926274234,156.35743034248603,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",2,0,0,2,FALSE,66.09938144683838,
80,1,linCmt,vae,NA,51,ok,TRUE,TRUE,TRUE,-1546.758928332156,5.602649128389245,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,57.43183708190918,
80,1,linCmt,vae,NA,52,ok,TRUE,TRUE,TRUE,-1525.1026602970128,20.93739921488442,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",2,0,0,2,FALSE,64.91174340248108,
80,1,linCmt,vae,NA,53,ok,TRUE,TRUE,TRUE,-1468.721212415148,4.2244607631251085,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,58.15163516998291,
80,1,linCmt,vae,NA,54,ok,TRUE,TRUE,TRUE,-1440.8348754053104,5.591239485669535,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,54.67962121963501,
80,1,linCmt,vae,NA,55,ok,TRUE,TRUE,TRUE,-1486.0223145856653,6.137203006780991,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,56.26543426513672,
80,1,linCmt,vae,NA,56,ok,TRUE,TRUE,TRUE,-1521.960852294494,6.630662559202569,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,54.71248006820679,
80,1,linCmt,vae,NA,57,ok,TRUE,TRUE,TRUE,-1462.1729487547686,13.234842277801919,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,65.63148713111877,
80,1,linCmt,vae,NA,58,ok,TRUE,TRUE,TRUE,-1479.8471405588682,5.027114446140724,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,57.35869908332825,
80,1,linCmt,vae,NA,59,ok,TRUE,TRUE,TRUE,-1451.849681223538,3.4477658100839044,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,69.54232931137085,
80,1,linCmt,vae,NA,60,ok,TRUE,TRUE,TRUE,-1481.3284745308993,48.793444270471454,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,63.67432904243469,
80,1,linCmt,vae,NA,61,ok,TRUE,TRUE,TRUE,-1517.4162844283878,7.380611152533282,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,51.61693358421326,
80,1,linCmt,vae,NA,62,ok,TRUE,TRUE,TRUE,-1507.1189119211433,4.924251997819287,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,75.08407688140869,
80,1,linCmt,vae,NA,63,ok,TRUE,TRUE,TRUE,-1499.1494035215562,4.927953079361712,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,69.30412483215332,
80,1,linCmt,vae,NA,64,ok,TRUE,TRUE,TRUE,-1498.3804130031986,5.760420147889199,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,53.14076352119446,
80,1,linCmt,vae,NA,65,ok,TRUE,TRUE,TRUE,-1475.1118375025035,6.172269814787983,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,73.14816641807556,
80,1,linCmt,vae,NA,66,ok,TRUE,TRUE,TRUE,-1501.501175556292,3.7277367527296428,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,54.299113512039185,
80,1,linCmt,vae,NA,67,ok,TRUE,TRUE,TRUE,-1503.5506120364178,4.398836322806538,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,53.27103638648987,
80,1,linCmt,vae,NA,68,ok,TRUE,TRUE,TRUE,-1520.4771142937411,3.6712504002170685,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,53.79961347579956,
80,1,linCmt,vae,NA,69,ok,TRUE,TRUE,TRUE,-1503.2532339056058,3.5127043088304872,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,54.37317967414856,
80,1,linCmt,vae,NA,70,ok,TRUE,TRUE,TRUE,-1508.4917796302452,5.177310125218798,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,55.49918842315674,
80,1,linCmt,vae,NA,71,ok,TRUE,TRUE,TRUE,-1476.943201836237,6.549786290712499,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,53.684149503707886,
80,1,linCmt,vae,NA,72,ok,TRUE,TRUE,TRUE,-1490.3418195635638,4.547312993089503,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,54.76466083526611,
80,1,linCmt,vae,NA,73,ok,TRUE,TRUE,TRUE,-1450.5587338264672,3.6641719986908825,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,55.557594537734985,
80,1,linCmt,vae,NA,74,ok,TRUE,TRUE,TRUE,-1492.2160244315448,8.666813570108946,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,74.77620387077332,
80,1,linCmt,vae,NA,75,ok,TRUE,TRUE,TRUE,-1453.3798748233532,6.0544919535153685,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,56.56997537612915,
80,1,linCmt,vae,NA,76,ok,TRUE,TRUE,TRUE,-1519.3424913262074,4.354454060113464,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,55.75908946990967,
80,1,linCmt,vae,NA,77,ok,TRUE,TRUE,TRUE,-1501.830869142155,31.02073048844808,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",2,0,0,2,FALSE,71.77651619911194,
80,1,linCmt,vae,NA,78,ok,TRUE,TRUE,TRUE,-1569.2448048545089,6.002387703731312,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,59.14351010322571,
80,1,linCmt,vae,NA,79,ok,TRUE,TRUE,TRUE,-1514.747835810875,5.052775843478559,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,75.36322093009949,
