sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,9,ode,cl,SEX,cat,7,FALSE,7,1,0,0,7
80,9,ode,vc,BMI,power,5,FALSE,5,1,0,0,5
80,9,ode,vc,BW,power,4,FALSE,4,1,0,0,4
80,9,ode,vc,CrCL,power,2,FALSE,2,1,0,0,2
80,9,ode,vc,RACE,cat,7,FALSE,7,1,0,0,7
80,10,linCmt,cl,BW,power,100,TRUE,85,0.85,85,15,0
80,10,linCmt,vc,SEX,cat,100,TRUE,100,1,100,0,0
80,10,linCmt,cl,BMI,power,15,FALSE,15,1,0,0,15
80,10,linCmt,cl,CrCL,power,3,FALSE,3,1,0,0,3
80,10,linCmt,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,10,linCmt,cl,SEX,cat,8,FALSE,8,1,0,0,8
80,10,linCmt,vc,BMI,power,2,FALSE,2,1,0,0,2
80,10,linCmt,vc,BW,power,4,FALSE,4,1,0,0,4
80,10,linCmt,vc,CrCL,power,5,FALSE,5,1,0,0,5
80,10,linCmt,vc,RACE,cat,4,FALSE,4,1,0,0,4
80,10,ode,cl,BW,power,100,TRUE,85,0.85,85,15,0
80,10,ode,vc,SEX,cat,100,TRUE,100,1,100,0,0
80,10,ode,cl,BMI,power,15,FALSE,15,1,0,0,15
80,10,ode,cl,CrCL,power,4,FALSE,4,1,0,0,4
80,10,ode,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,10,ode,cl,SEX,cat,8,FALSE,8,1,0,0,8
80,10,ode,vc,BMI,power,2,FALSE,2,1,0,0,2
80,10,ode,vc,BW,power,4,FALSE,4,1,0,0,4
80,10,ode,vc,CrCL,power,5,FALSE,5,1,0,0,5
80,10,ode,vc,RACE,cat,4,FALSE,4,1,0,0,4
80,11,linCmt,cl,BW,power,100,TRUE,88,0.88,88,12,0
80,11,linCmt,vc,BW,power,100,TRUE,90,0.9,90,10,0
80,11,linCmt,cl,BMI,power,14,FALSE,14,1,0,0,14
80,11,linCmt,cl,CrCL,power,7,FALSE,7,1,0,0,7
80,11,linCmt,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,11,linCmt,cl,SEX,cat,4,FALSE,4,1,0,0,4
80,11,linCmt,vc,BMI,power,11,FALSE,11,1,0,0,11
80,11,linCmt,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,11,linCmt,vc,RACE,cat,4,FALSE,4,1,0,0,4
80,11,linCmt,vc,SEX,cat,6,FALSE,6,1,0,0,6
80,11,ode,cl,BW,power,100,TRUE,88,0.88,88,12,0
80,11,ode,vc,BW,power,100,TRUE,90,0.9,90,10,0
80,11,ode,cl,BMI,power,14,FALSE,14,1,0,0,14
80,11,ode,cl,CrCL,power,7,FALSE,7,1,0,0,7
80,11,ode,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,11,ode,cl,SEX,cat,4,FALSE,4,1,0,0,4
