sample_N,scenario,structure,estimator,outer_opt,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,8,ode,focei,bobyqa,vc,BW,power,100,TRUE,89,0.89,89,11,0
80,8,ode,focei,bobyqa,vc,SEX,cat,100,TRUE,96,0.96,96,4,0
80,8,ode,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
80,8,ode,focei,bobyqa,cl,BW,power,3,FALSE,3,1,0,0,3
80,8,ode,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,8,ode,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,8,ode,focei,bobyqa,vc,BMI,power,12,FALSE,12,1,0,0,12
80,8,ode,focei,bobyqa,vc,CrCL,power,5,FALSE,5,1,0,0,5
80,8,ode,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,9,linCmt,focei,bobyqa,cl,BW,power,100,TRUE,85,0.85,85,15,0
80,9,linCmt,focei,bobyqa,cl,BMI,power,12,FALSE,12,1,0,0,12
80,9,linCmt,focei,bobyqa,cl,CrCL,power,3,FALSE,3,1,0,0,3
80,9,linCmt,focei,bobyqa,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,9,linCmt,focei,bobyqa,cl,SEX,cat,3,FALSE,3,1,0,0,3
80,9,linCmt,focei,bobyqa,vc,BMI,power,1,FALSE,1,1,0,0,1
80,9,linCmt,focei,bobyqa,vc,BW,power,1,FALSE,1,1,0,0,1
80,9,linCmt,focei,bobyqa,vc,CrCL,power,2,FALSE,2,1,0,0,2
80,9,linCmt,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,9,linCmt,focei,bobyqa,vc,SEX,cat,1,FALSE,1,1,0,0,1
80,9,ode,focei,bobyqa,cl,BW,power,100,TRUE,83,0.83,83,17,0
80,9,ode,focei,bobyqa,cl,BMI,power,14,FALSE,14,1,0,0,14
80,9,ode,focei,bobyqa,cl,CrCL,power,2,FALSE,2,1,0,0,2
80,9,ode,focei,bobyqa,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,9,ode,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,9,ode,focei,bobyqa,vc,BMI,power,1,FALSE,1,1,0,0,1
80,9,ode,focei,bobyqa,vc,BW,power,1,FALSE,1,1,0,0,1
80,9,ode,focei,bobyqa,vc,CrCL,power,2,FALSE,2,1,0,0,2
80,9,ode,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,9,ode,focei,bobyqa,vc,SEX,cat,1,FALSE,1,1,0,0,1
80,10,linCmt,focei,bobyqa,cl,BW,power,100,TRUE,82,0.82,82,18,0
80,10,linCmt,focei,bobyqa,vc,SEX,cat,100,TRUE,100,1,100,0,0
80,10,linCmt,focei,bobyqa,cl,BMI,power,17,FALSE,17,1,0,0,17
80,10,linCmt,focei,bobyqa,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,10,linCmt,focei,bobyqa,cl,SEX,cat,3,FALSE,3,1,0,0,3
80,10,linCmt,focei,bobyqa,vc,BMI,power,1,FALSE,1,1,0,0,1
80,10,linCmt,focei,bobyqa,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,10,linCmt,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,10,ode,focei,bobyqa,cl,BW,power,100,TRUE,81,0.81,81,19,0
80,10,ode,focei,bobyqa,vc,SEX,cat,100,TRUE,100,1,100,0,0
80,10,ode,focei,bobyqa,cl,BMI,power,18,FALSE,18,1,0,0,18
80,10,ode,focei,bobyqa,cl,RACE,cat,2,FALSE,2,1,0,0,2
80,10,ode,focei,bobyqa,cl,SEX,cat,2,FALSE,2,1,0,0,2
80,10,ode,focei,bobyqa,vc,BMI,power,1,FALSE,1,1,0,0,1
80,10,ode,focei,bobyqa,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,10,ode,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,11,linCmt,focei,bobyqa,cl,BW,power,100,TRUE,88,0.88,88,12,0
80,11,linCmt,focei,bobyqa,vc,BW,power,100,TRUE,90,0.9,90,10,0
80,11,linCmt,focei,bobyqa,cl,BMI,power,12,FALSE,12,1,0,0,12
80,11,linCmt,focei,bobyqa,cl,CrCL,power,2,FALSE,2,1,0,0,2
80,11,linCmt,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,11,linCmt,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,11,linCmt,focei,bobyqa,vc,BMI,power,10,FALSE,10,1,0,0,10
80,11,linCmt,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,11,linCmt,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,11,linCmt,focei,bobyqa,vc,SEX,cat,2,FALSE,2,1,0,0,2
80,11,ode,focei,bobyqa,cl,BW,power,100,TRUE,85,0.85,85,15,0
80,11,ode,focei,bobyqa,vc,BW,power,100,TRUE,89,0.89,89,11,0
80,11,ode,focei,bobyqa,cl,BMI,power,15,FALSE,15,1,0,0,15
80,11,ode,focei,bobyqa,cl,CrCL,power,3,FALSE,3,1,0,0,3
80,11,ode,focei,bobyqa,cl,RACE,cat,2,FALSE,2,1,0,0,2
80,11,ode,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,11,ode,focei,bobyqa,vc,BMI,power,12,FALSE,12,1,0,0,12
80,11,ode,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,11,ode,focei,bobyqa,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,11,ode,focei,bobyqa,vc,SEX,cat,3,FALSE,3,1,0,0,3
80,12,linCmt,focei,bobyqa,cl,BW,power,100,TRUE,87,0.87,87,13,0
80,12,linCmt,focei,bobyqa,vc,BW,power,100,TRUE,79,0.79,79,21,0
80,12,linCmt,focei,bobyqa,vc,SEX,cat,100,TRUE,98,0.98,98,2,0
80,12,linCmt,focei,bobyqa,cl,BMI,power,13,FALSE,13,1,0,0,13
80,12,linCmt,focei,bobyqa,cl,RACE,cat,2,FALSE,2,1,0,0,2
80,12,linCmt,focei,bobyqa,vc,BMI,power,20,FALSE,20,1,0,0,20
80,12,linCmt,focei,bobyqa,vc,CrCL,power,4,FALSE,4,1,0,0,4
80,12,linCmt,focei,bobyqa,vc,RACE,cat,1,FALSE,1,1,0,0,1
80,12,ode,focei,bobyqa,cl,BW,power,100,TRUE,88,0.88,88,12,0
80,12,ode,focei,bobyqa,vc,BW,power,100,TRUE,79,0.79,79,21,0
80,12,ode,focei,bobyqa,vc,SEX,cat,100,TRUE,98,0.98,98,2,0
80,12,ode,focei,bobyqa,cl,BMI,power,12,FALSE,12,1,0,0,12
80,12,ode,focei,bobyqa,cl,CrCL,power,1,FALSE,1,1,0,0,1
80,12,ode,focei,bobyqa,cl,RACE,cat,2,FALSE,2,1,0,0,2
80,12,ode,focei,bobyqa,vc,BMI,power,20,FALSE,20,1,0,0,20
80,12,ode,focei,bobyqa,vc,CrCL,power,4,FALSE,4,1,0,0,4
80,12,ode,focei,bobyqa,vc,RACE,cat,1,FALSE,1,1,0,0,1
80,13,linCmt,focei,bobyqa,cl,BW,power,100,TRUE,81,0.81,81,19,0
80,13,linCmt,focei,bobyqa,cl,CrCL,power,100,TRUE,97,0.97,97,3,0
80,13,linCmt,focei,bobyqa,cl,BMI,power,10,FALSE,10,1,0,0,10
80,13,linCmt,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
