sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
80,2,linCmt,focei,bobyqa,83,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,84,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,85,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,86,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,87,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,88,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,89,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,90,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,91,vc,SEX,cat,TRUE,FALSE,FN
80,2,linCmt,focei,bobyqa,92,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,93,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,94,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,95,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,96,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,97,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,98,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,99,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,100,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,1,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,2,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,3,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,4,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,5,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,6,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,7,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,8,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,8,cl,SEX,cat,FALSE,TRUE,FP
80,2,ode,focei,bobyqa,9,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,9,cl,BMI,power,FALSE,TRUE,FP
80,2,ode,focei,bobyqa,10,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,11,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,12,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,13,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,14,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,15,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,16,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,17,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,18,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,19,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,20,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,21,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,22,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,23,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,24,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,25,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,26,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,27,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,27,cl,CrCL,power,FALSE,TRUE,FP
80,2,ode,focei,bobyqa,28,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,29,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,29,vc,BW,power,FALSE,TRUE,FP
80,2,ode,focei,bobyqa,30,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,30,vc,BW,power,FALSE,TRUE,FP
80,2,ode,focei,bobyqa,31,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,32,vc,SEX,cat,TRUE,TRUE,TP
