sample_N,scenario,structure,estimator,outer_opt,n_total,n_ok_status,Converged_pct,ConvergedStrict_pct,CovStep_pct,CovDone_pct,CNBelowCutoff_pct,MinSuc_pct,EstBnd_pct,MedCN,MaxCN,P90CN,MedObjF,MedNSelected,MedWallBase_sec,MedWallScm_sec,MedWallRefit_sec,MedWallTotal_sec,MedWallTotal_min,MedCpuTotal_sec,MedHogFactor,scm_workers,rx_threads
80,10,linCmt,focei,bobyqa,100,100,100,100,100,100,100,100,NA,7.700228541217548,46.850284532014896,11.682777706989688,-4497.274178553643,2,32.141000000000005,665.701802611351,10.576110124588013,714.0784324235916,11.90130720705986,9.5345,0.013752853448170265,3,1
80,10,ode,focei,bobyqa,100,100,100,100,100,100,100,100,NA,7.66637002836978,29.239442678015518,11.528479534688417,-4496.570236128364,2,17.414,465.3347189426422,44.73613917827606,531.2583818349838,8.854306363916397,44.409499999999994,0.0837880857345649,3,1
80,11,linCmt,focei,bobyqa,100,100,99,99,99,99,99,99,NA,5.587673925003392,19.649517739190625,8.836267271745928,-4495.536048088328,2,26.604999999999997,593.0927023887634,10.293770909309387,619.5903231573105,10.326505385955176,9.556000000000001,0.015838818727621117,3,1
80,11,ode,focei,bobyqa,100,100,100,100,100,100,100,100,NA,5.884462872356741,109.71752450166346,9.764456190100878,-4495.4126719844935,2,17.756,471.6330727338791,46.999298095703125,538.8807422838211,8.981345704730352,46.73349999999999,0.0892513775249553,3,1
80,12,linCmt,focei,bobyqa,100,100,99,99,99,99,99,99,NA,10.169460167579185,30.958824807620694,14.680788101417935,-4483.89650746468,3,33.114000000000004,865.698727607727,11.930314779281616,914.7513814592362,15.245856357653937,11.081000000000001,0.012247235150016132,3,1
80,12,ode,focei,bobyqa,100,100,100,100,100,100,100,100,NA,10.033620314445049,31.16936601396036,14.636618053697559,-4483.552915028873,3,16.351,606.7858802080154,54.04233396053314,681.6491636714936,11.360819394524894,53.577,0.07950559323097223,3,1
80,13,linCmt,focei,bobyqa,100,100,99,99,99,99,99,99,NA,6.2785669228491034,139.51903990866768,10.745589704137288,-4525.137004962606,2,31.351499999999998,601.9604476690292,10.914814829826355,651.0337614812851,10.850562691354751,9.821000000000002,0.016057946768978475,3,1
80,13,ode,focei,bobyqa,100,100,98,95,98,98,95,98,NA,7.306548342104511,29857.99843172966,24.54160756806987,-4525.776658813734,2,19.455000000000002,452.173256278038,46.76982653141022,519.0992251434326,8.651653752390542,46.361,0.08598833222725122,3,1
80,14,linCmt,focei,bobyqa,100,100,99,99,99,99,99,99,NA,9.077705230503545,88.3736094403979,13.21579823221881,-4514.4790379147,3,28.67,691.3900929689407,12.069875597953796,732.3915212287902,12.20652535381317,11.431999999999999,0.015969597539765873,3,1
80,14,ode,focei,bobyqa,100,100,97,95,97,97,95,97,NA,9.713190830650674,2392849247984.502,48.29263081196497,-4511.8845780975735,3,16.5715,610.7168043851852,52.887779116630554,676.7411063451767,11.279018439086279,52.643,0.07531820800784539,3,1
